[I 240812 10:54:51 API:64] on open
[I 240812 10:55:47 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6186727, 'exchange_timestamp': 1723440347000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:48 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6187484, 'exchange_timestamp': 1723440348000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:49 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6188352, 'exchange_timestamp': 1723440349000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:50 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6189115, 'exchange_timestamp': 1723440350000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:51 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6189877, 'exchange_timestamp': 1723440351000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:52 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6190649, 'exchange_timestamp': 1723440352000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:52 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6190839, 'exchange_timestamp': 1723440352000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:53 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6191420, 'exchange_timestamp': 1723440353000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:54 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6192235, 'exchange_timestamp': 1723440354000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:55 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6192996, 'exchange_timestamp': 1723440355000, 'last_traded_price': 2396, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:56 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6193813, 'exchange_timestamp': 1723440356000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:57 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6194639, 'exchange_timestamp': 1723440357000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:58 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6195462, 'exchange_timestamp': 1723440358000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:55:59 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6196254, 'exchange_timestamp': 1723440359000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:00 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6196728, 'exchange_timestamp': 1723440360000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:00 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6197255, 'exchange_timestamp': 1723440360000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:01 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6197837, 'exchange_timestamp': 1723440361000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:02 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6198633, 'exchange_timestamp': 1723440362000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:03 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6199456, 'exchange_timestamp': 1723440363000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:04 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6200334, 'exchange_timestamp': 1723440364000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:05 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6201114, 'exchange_timestamp': 1723440365000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:06 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6201915, 'exchange_timestamp': 1723440366000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:07 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6202680, 'exchange_timestamp': 1723440367000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:08 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6203177, 'exchange_timestamp': 1723440368000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:08 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6203448, 'exchange_timestamp': 1723440368000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:09 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6204263, 'exchange_timestamp': 1723440369000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:10 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6205080, 'exchange_timestamp': 1723440370000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:11 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6206051, 'exchange_timestamp': 1723440371000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:12 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6206629, 'exchange_timestamp': 1723440372000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:13 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6207434, 'exchange_timestamp': 1723440373000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:14 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6208251, 'exchange_timestamp': 1723440374000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:15 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6209012, 'exchange_timestamp': 1723440375000, 'last_traded_price': 2397, 'subscription_mode_val': 'LTP'}
[I 240812 10:56:15 API:57] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '11915', 'sequence_number': 6209362, 'exchange_timestamp': 1723440375000, 'last_traded_price': 2398, 'subscription_mode_val': 'LTP'}
